Grouping,Number of Respondents,0 (lbs),1 to 50 (lbs),51 to 100 (lbs),101 to 500 (lbs),501 to 1000 (lbs),1000 to 5000 (lbs),5000+ (lbs),Mean,Median
ALL,342,36.3,24.9,12.9,18.4,5.8,1.8,0.0,155,25
By County,,,,,,,,,,
Oahu,121,30.6,24.0,14.0,21.5,8.3,1.7,0.0,178,25
Hawaii,130,45.4,25.4,9.2,16.2,3.1,0.8,0.0,104,25
Maui,51,31.4,35.3,13.7,9.8,7.8,2.0,0.0,147,25
Kauai,39,28.2,12.8,20.5,28.2,5.1,5.1,0.0,265,75
By Primary Fishing Motivation,,,,,,,,,,
Recreational Expense,105,36.2,28.6,12.4,15.2,6.7,1.0,0.0,141,25
Part-Time Commercial,92,37.0,19.6,12.0,25.0,6.5,0.0,0.0,138,25
Subsistence,49,32.7,32.7,22.4,10.2,0.0,2.0,0.0,81,25
Full-Time Commercial,34,29.4,14.7,2.9,23.5,17.6,11.8,0.0,482,300
Purely Recreational,26,46.2,38.5,3.8,11.5,0.0,0.0,0.0,47,25
Cultural,4,25.0,25.0,25.0,0.0,25.0,0.0,0.0,213,50
By Most Common Gear,,,,,,,,,,
Troll,187,43.3,27.3,11.2,16.0,2.1,0.0,0.0,79,25
Bait for Pelagic,46,34.8,21.7,13.0,21.7,4.3,4.3,0.0,217,25
HL for Deep7 deep,48,20.8,27.1,18.8,22.9,6.3,4.2,0.0,230,75
HL for Deep7 shallow,30,6.7,16.7,13.3,30.0,26.7,6.7,0.0,446,300
Spear,6,33.3,33.3,16.7,16.7,0.0,0.0,0.0,71,25
By Sub-fishery,,,,,,,,,,
Pelagic,327,37.0,25.1,12.8,18.0,5.5,1.5,0.0,147,25
Deep7 Bottom,198,26.8,28.3,16.7,20.2,6.6,1.5,0.0,164,25
Non-Deep7 Bottom,200,14.0,29.0,19.0,26.5,9.0,2.5,0.0,226,75
Coral Reef,55,21.8,29.1,12.7,27.3,7.3,1.8,0.0,176,25
