TYPE,Number of Respondents,Yes,No
ALL,327,85.3,14.7
By County,,,
Oahu,114,78.1,21.9
Hawaii,127,89.8,10.2
Maui,48,91.7,8.3
Kauai,37,83.8,16.2
By Primary Fishing Motivation,,,
Recreational Expense,99,80.8,19.2
Part-Time Commercial,88,87.5,12.5
Subsistence,48,91.7,8.3
Full-Time Commercial,34,76.5,23.5
Purely Recreational,25,84.0,16.0
Cultural,4,100.0,0.0
By Most Common Gear,,,
Troll,177,82.5,17.5
Bait for Pelagic,46,89.1,10.9
HL for Deep7 deep,45,88.9,11.1
HL for Deep7 shallow,28,82.1,17.9
Spear,5,100.0,0.0
By Sub-fishery,,,
Pelagic,312,85.3,14.7
Deep7 Bottom,193,86.0,14.0
Non-Deep7 Bottom,193,86.5,13.5
Coral Reef,53,92.5,7.5
