TYPE,Number of Respondents,Yes,No
ALL,242,99.2,0.8
By County,,,
Oahu,94,98.9,1.1
Hawaii,82,98.8,1.2
Maui,41,100.0,0.0
Kauai,24,100.0,0.0
By Primary Fishing Motivation,,,
Recreational Expense,70,98.6,1.4
Part-Time Commercial,66,98.5,1.5
Subsistence,41,100.0,0.0
Full-Time Commercial,21,100.0,0.0
Purely Recreational,20,100.0,0.0
Cultural,2,100.0,0.0
By Most Common Gear,,,
Troll,130,100.0,0.0
Bait for Pelagic,27,100.0,0.0
HL for Deep7 deep,35,100.0,0.0
HL for Deep7 shallow,23,91.3,8.7
Spear,5,100.0,0.0
By Sub-fishery,,,
Pelagic,229,99.6,0.4
Deep7 Bottom,143,100.0,0.0
Non-Deep7 Bottom,148,98.6,1.4
Coral Reef,44,100.0,0.0
,,,
