TYPE,Number of Respondents,Not at all important,Slightly important,Moderatel important,Very important,Extremely important
ALL,332,2.4,1.5,6.3,21.7,68.1
By County,,,,,,
Oahu,120,4.2,2.5,7.5,19.2,66.7
Hawaii,124,0.8,0.8,7.3,25.0,66.1
Maui,49,2.0,2.0,4.1,22.4,69.4
Kauai,37,2.7,0.0,2.7,16.2,78.4
By Primary Fishing Motivation,,,,,,
Recreational Expense,103,2.9,3.9,4.9,27.2,61.2
Part-Time Commercial,90,2.2,1.1,7.8,23.3,65.6
Subsistence,46,2.2,0.0,8.7,17.4,71.7
Full-Time Commercial,33,3.0,0.0,6.1,18.2,72.7
Purely Recreational,25,0.0,0.0,0.0,20.0,80.0
Cultural,4,0.0,0.0,25.0,25.0,50.0
By Most Common Gear,,,,,,
Troll,180,1.7,1.1,6.7,22.2,68.3
Bait for Pelagic,47,2.1,2.1,6.4,25.5,63.8
HL for Deep7 deep,46,2.2,0.0,4.3,21.7,71.7
HL for Deep7 shallow,27,7.4,7.4,3.7,25.9,55.6
Spear,6,16.7,0.0,16.7,16.7,50.0
By Sub-fishery,,,,,,
Pelagic,317,2.5,1.3,6.6,22.4,67.2
Deep7 Bottom,192,3.1,1.6,6.3,19.8,69.3
Non-Deep7 Bottom,194,3.1,2.1,7.2,22.7,64.9
Coral Reef,52,0.0,0.0,11.5,17.3,71.2
