TYPE,Number of Respondents,Not at all important,Slightly important,Moderatel important,Very important,Extremely important
ALL,332,2.7,5.4,16.9,36.4,38.6
By County,,,,,,
Oahu,119,5.9,7.6,12.6,31.9,42.0
Hawaii,125,0.8,3.2,18.4,40.0,37.6
Maui,49,2.0,8.2,16.3,36.7,36.7
Kauai,37,0.0,2.7,24.3,37.8,35.1
By Primary Fishing Motivation,,,,,,
Recreational Expense,102,4.9,4.9,12.7,40.2,37.3
Part-Time Commercial,89,1.1,9.0,18.0,41.6,30.3
Subsistence,47,2.1,4.3,23.4,25.5,44.7
Full-Time Commercial,33,3.0,6.1,9.1,24.2,57.6
Purely Recreational,25,0.0,4.0,20.0,48.0,28.0
Cultural,4,0.0,0.0,25.0,50.0,25.0
By Most Common Gear,,,,,,
Troll,180,3.3,4.4,16.7,35.0,40.6
Bait for Pelagic,47,2.1,6.4,19.1,34.0,38.3
HL for Deep7 deep,46,2.2,4.3,10.9,43.5,39.1
HL for Deep7 shallow,27,3.7,11.1,14.8,55.6,14.8
Spear,6,0.0,16.7,33.3,16.7,33.3
By Sub-fishery,,,,,,
Pelagic,317,2.8,5.4,17.0,36.0,38.8
Deep7 Bottom,194,3.1,6.7,17.5,35.6,37.1
Non-Deep7 Bottom,195,2.1,6.2,17.4,36.9,37.4
Coral Reef,52,0.0,0.0,15.4,32.7,51.9
