TYPE,Number of Respondents,Not at all important,Slightly important,Moderatel important,Very important,Extremely important
ALL,333,2.4,3.9,9.9,36.6,47.1
By County,,,,,,
Oahu,120,5.8,2.5,10.8,31.7,49.2
Hawaii,126,0.8,4.0,10.3,35.7,49.2
Maui,48,0.0,8.3,12.5,41.7,37.5
Kauai,37,0.0,2.7,2.7,48.6,45.9
By Primary Fishing Motivation,,,,,,
Recreational Expense,103,2.9,5.8,6.8,35.0,49.5
Part-Time Commercial,90,2.2,4.4,12.2,41.1,40.0
Subsistence,47,2.1,4.3,14.9,27.7,51.1
Full-Time Commercial,33,3.0,0.0,6.1,36.4,54.5
Purely Recreational,25,0.0,4.0,8.0,44.0,44.0
Cultural,4,0.0,0.0,0.0,75.0,25.0
By Most Common Gear,,,,,,
Troll,182,2.7,2.7,8.8,36.3,49.5
Bait for Pelagic,47,2.1,6.4,12.8,31.9,46.8
HL for Deep7 deep,46,0.0,6.5,8.7,34.8,50.0
HL for Deep7 shallow,27,7.4,7.4,7.4,55.6,22.2
Spear,6,0.0,0.0,33.3,33.3,33.3
By Sub-fishery,,,,,,
Pelagic,318,2.5,3.8,10.1,36.2,47.5
Deep7 Bottom,193,2.6,6.2,11.4,34.7,45.1
Non-Deep7 Bottom,195,3.1,4.6,11.3,37.4,43.6
Coral Reef,52,0.0,0.0,13.5,26.9,59.6
