TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,330,9.1,21.2,41.2,17.9,10.6
By County,,,,,,
Oahu,120,13.3,25.0,41.7,12.5,7.5
Hawaii,124,7.3,18.5,44.4,18.5,11.3
Maui,47,8.5,14.9,42.6,21.3,12.8
Kauai,37,2.7,21.6,29.7,29.7,16.2
By Primary Fishing Motivation,,,,,,
Recreational Expense,103,4.9,20.4,50.5,16.5,7.8
Part-Time Commercial,87,14.9,21.8,26.4,25.3,11.5
Subsistence,48,12.5,20.8,47.9,12.5,6.3
Full-Time Commercial,32,3.1,25.0,31.3,12.5,28.1
Purely Recreational,25,4.0,16.0,56.0,20.0,4.0
Cultural,4,0.0,0.0,75.0,25.0,0.0
By Most Common Gear,,,,,,
Troll,183,10.4,19.1,41.5,18.6,10.4
Bait for Pelagic,46,4.3,23.9,37.0,23.9,10.9
HL for Deep7 deep,43,11.6,27.9,44.2,9.3,7.0
HL for Deep7 shallow,27,0.0,22.2,51.9,18.5,7.4
Spear,5,0.0,20.0,40.0,0.0,40.0
By Sub-fishery,,,,,,
Pelagic,316,8.9,21.5,42.1,18.0,9.5
Deep7 Bottom,190,10.5,23.2,42.1,15.3,8.9
Non-Deep7 Bottom,192,8.3,23.4,42.7,16.7,8.9
Coral Reef,52,9.6,30.8,34.6,11.5,13.5
