TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,329,12.2,17.6,40.7,20.4,9.1
By County,,,,,,
Oahu,120,17.5,19.2,44.2,13.3,5.8
Hawaii,125,12.0,16.0,37.6,23.2,11.2
Maui,46,6.5,19.6,37.0,26.1,10.9
Kauai,36,2.8,13.9,44.4,27.8,11.1
By Primary Fishing Motivation,,,,,,
Recreational Expense,103,7.8,15.5,53.4,16.5,6.8
Part-Time Commercial,88,18.2,17.0,37.5,19.3,8.0
Subsistence,47,12.8,21.3,38.3,19.1,8.5
Full-Time Commercial,32,6.3,25.0,25.0,18.8,25.0
Purely Recreational,24,8.3,12.5,54.2,25.0,0.0
Cultural,4,0.0,0.0,25.0,50.0,25.0
By Most Common Gear,,,,,,
Troll,181,10.5,14.9,44.2,21.5,8.8
Bait for Pelagic,47,14.9,23.4,34.0,17.0,10.6
HL for Deep7 deep,43,16.3,32.6,32.6,18.6,0.0
HL for Deep7 shallow,27,7.4,7.4,51.9,29.6,3.7
Spear,5,20.0,0.0,60.0,0.0,20.0
By Sub-fishery,,,,,,
Pelagic,315,12.1,18.4,41.0,20.0,8.6
Deep7 Bottom,189,13.2,21.7,38.6,20.6,5.8
Non-Deep7 Bottom,193,13.5,20.2,38.9,20.7,6.7
Coral Reef,52,21.2,15.4,28.8,19.2,15.4
