TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,342,2.0,1.5,8.5,30.1,57.9
By County,,,,,,
Oahu,122,1.6,0.8,8.2,28.7,60.7
Hawaii,130,0.8,0.8,10.0,32.3,56.2
Maui,50,6.0,0.0,8.0,30.0,56.0
Kauai,38,2.6,5.3,5.3,28.9,57.9
By Primary Fishing Motivation,,,,,,
Recreational Expense,105,1.0,1.9,11.4,32.4,53.3
Part-Time Commercial,93,1.1,2.2,9.7,31.2,55.9
Subsistence,49,6.1,0.0,8.2,18.4,67.3
Full-Time Commercial,34,0.0,0.0,0.0,32.4,67.6
Purely Recreational,25,4.0,4.0,4.0,44.0,44.0
Cultural,4,0.0,0.0,0.0,25.0,75.0
By Most Common Gear,,,,,,
Troll,187,2.1,1.6,10.2,27.3,58.8
Bait for Pelagic,48,0.0,0.0,6.3,29.2,64.6
HL for Deep7 deep,46,6.5,2.2,6.5,32.6,52.2
HL for Deep7 shallow,29,0.0,3.4,10.3,41.4,44.8
Spear,6,0.0,0.0,0.0,50.0,50.0
By Sub-fishery,,,,,,
Pelagic,327,2.1,1.5,8.6,30.0,57.8
Deep7 Bottom,197,2.0,0.5,5.6,28.9,62.9
Non-Deep7 Bottom,199,2.0,0.5,5.5,32.2,59.8
Coral Reef,55,1.8,0.0,5.5,18.2,74.5
