TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,329,8.8,22.8,30.7,27.4,10.3
By County,,,,,,
Oahu,120,15.8,26.7,29.2,20.8,7.5
Hawaii,125,6.4,16.8,31.2,35.2,10.4
Maui,46,2.2,32.6,34.8,19.6,10.9
Kauai,36,2.8,16.7,30.6,30.6,19.4
By Primary Fishing Motivation,,,,,,
Recreational Expense,103,3.9,26.2,31.1,30.1,8.7
Part-Time Commercial,88,17.0,22.7,25.0,27.3,8.0
Subsistence,47,10.6,17.0,40.4,23.4,8.5
Full-Time Commercial,32,6.3,18.8,34.4,21.9,18.8
Purely Recreational,24,0.0,12.5,54.2,33.3,0.0
Cultural,4,0.0,0.0,0.0,75.0,25.0
By Most Common Gear,,,,,,
Troll,181,8.3,20.4,30.4,29.8,11.0
Bait for Pelagic,47,6.4,29.8,21.3,31.9,10.6
HL for Deep7 deep,43,11.6,39.5,34.9,11.6,2.3
HL for Deep7 shallow,27,3.7,7.4,51.9,33.3,3.7
Spear,5,20.0,0.0,60.0,0.0,20.0
By Sub-fishery,,,,,,
Pelagic,315,8.6,23.5,30.2,27.9,9.8
Deep7 Bottom,189,10.6,29.1,29.1,25.4,5.8
Non-Deep7 Bottom,193,10.4,22.3,31.6,28.0,7.8
Coral Reef,52,13.5,32.7,11.5,26.9,15.4
