TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,340,2.1,2.1,15.0,30.0,50.9
By County,,,,,,
Oahu,122,1.6,1.6,13.9,31.1,51.6
Hawaii,129,0.8,2.3,17.1,30.2,49.6
Maui,49,6.1,0.0,14.3,26.5,53.1
Kauai,38,2.6,2.6,13.2,31.6,50.0
By Primary Fishing Motivation,,,,,,
Recreational Expense,104,1.0,2.9,23.1,34.6,38.5
Part-Time Commercial,93,1.1,2.2,12.9,30.1,53.8
Subsistence,49,6.1,2.0,12.2,18.4,61.2
Full-Time Commercial,34,0.0,0.0,8.8,26.5,64.7
Purely Recreational,25,4.0,4.0,12.0,44.0,36.0
Cultural,4,0.0,0.0,0.0,50.0,50.0
By Most Common Gear,,,,,,
Troll,186,2.2,3.2,16.7,30.1,47.8
Bait for Pelagic,47,0.0,2.1,12.8,25.5,59.6
HL for Deep7 deep,46,6.5,0.0,10.9,32.6,50.0
HL for Deep7 shallow,29,0.0,0.0,20.7,37.9,41.4
Spear,6,0.0,0.0,16.7,16.7,66.7
By Sub-fishery,,,,,,
Pelagic,325,2.2,2.2,14.8,30.2,50.8
Deep7 Bottom,196,2.0,1.0,10.2,28.6,58.2
Non-Deep7 Bottom,198,2.0,1.5,11.1,26.8,58.6
Coral Reef,55,1.8,0.0,5.5,18.2,74.5
