TYPE,Number of Respondents,Not at all important,Slightly important,Moderatel important,Very important,Extremely important
ALL,333,4.2,5.7,20.4,33.6,36.0
By County,,,,,,
Oahu,120,7.5,7.5,16.7,29.2,39.2
Hawaii,125,2.4,4.8,20.0,32.8,40.0
Maui,49,2.0,4.1,24.5,42.9,26.5
Kauai,37,2.7,2.7,29.7,37.8,27.0
By Primary Fishing Motivation,,,,,,
Recreational Expense,102,2.0,3.9,27.5,32.4,34.3
Part-Time Commercial,90,5.6,8.9,17.8,34.4,33.3
Subsistence,47,10.6,6.4,21.3,25.5,36.2
Full-Time Commercial,33,0.0,0.0,6.1,36.4,57.6
Purely Recreational,25,8.0,8.0,16.0,48.0,20.0
Cultural,4,0.0,0.0,50.0,25.0,25.0
By Most Common Gear,,,,,,
Troll,182,3.8,3.8,20.9,32.4,39.0
Bait for Pelagic,47,0.0,2.1,21.3,40.4,36.2
HL for Deep7 deep,46,6.5,6.5,21.7,30.4,34.8
HL for Deep7 shallow,26,7.7,23.1,23.1,30.8,15.4
Spear,6,0.0,16.7,33.3,33.3,16.7
By Sub-fishery,,,,,,
Pelagic,318,4.1,5.0,21.4,33.6,35.8
Deep7 Bottom,193,6.2,5.7,22.8,26.9,38.3
Non-Deep7 Bottom,194,3.6,6.2,20.1,33.5,36.6
Coral Reef,52,5.8,5.8,21.2,26.9,40.4
