TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,310,5.5,27.1,35.8,20.6,11.0
By County,,,,,,
Oahu,106,9.4,31.1,36.8,14.2,8.5
Hawaii,120,3.3,26.7,30.8,28.3,10.8
Maui,46,4.3,26.1,37.0,17.4,15.2
Kauai,36,2.8,16.7,47.2,19.4,13.9
By Primary Fishing Motivation,,,,,,
Recreational Expense,96,1.0,29.2,37.5,25.0,7.3
Part-Time Commercial,82,9.8,25.6,35.4,22.0,7.3
Subsistence,44,9.1,27.3,34.1,20.5,9.1
Full-Time Commercial,29,0.0,37.9,27.6,6.9,27.6
Purely Recreational,25,0.0,16.0,56.0,24.0,4.0
Cultural,4,0.0,0.0,25.0,50.0,25.0
By Most Common Gear,,,,,,
Troll,169,5.3,20.7,42.0,20.7,11.2
Bait for Pelagic,44,2.3,34.1,34.1,18.2,11.4
HL for Deep7 deep,41,9.8,51.2,22.0,17.1,0.0
HL for Deep7 shallow,27,0.0,22.2,44.4,25.9,7.4
Spear,4,0.0,25.0,25.0,25.0,25.0
By Sub-fishery,,,,,,
Pelagic,296,5.1,27.7,36.1,20.6,10.5
Deep7 Bottom,176,6.3,34.7,31.8,21.6,5.7
Non-Deep7 Bottom,179,6.1,26.8,34.6,23.5,8.9
Coral Reef,45,8.9,28.9,31.1,13.3,17.8
