TYPE,Number of Respondents,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
ALL,330,10.9,19.1,30.6,25.5,13.9
By County,,,,,,
Oahu,119,20.2,26.9,28.6,16.8,7.6
Hawaii,125,4.0,13.6,32.0,30.4,20.0
Maui,47,4.3,12.8,40.4,27.7,14.9
Kauai,37,13.5,18.9,21.6,32.4,13.5
By Primary Fishing Motivation,,,,,,
Recreational Expense,103,8.7,22.3,32.0,26.2,10.7
Part-Time Commercial,88,20.5,13.6,23.9,29.5,12.5
Subsistence,47,14.9,23.4,38.3,12.8,10.6
Full-Time Commercial,32,3.1,31.3,15.6,25.0,25.0
Purely Recreational,25,0.0,16.0,44.0,32.0,8.0
Cultural,4,0.0,0.0,0.0,50.0,50.0
By Most Common Gear,,,,,,
Troll,183,10.9,20.2,27.9,26.8,14.2
Bait for Pelagic,47,6.4,14.9,34.0,29.8,14.9
HL for Deep7 deep,43,14.0,32.6,34.9,14.0,4.7
HL for Deep7 shallow,26,15.4,7.7,34.6,34.6,7.7
Spear,5,20.0,20.0,40.0,0.0,20.0
By Sub-fishery,,,,,,
Pelagic,316,11.1,19.6,30.4,25.6,13.3
Deep7 Bottom,191,8.9,24.1,31.9,24.1,11.0
Non-Deep7 Bottom,192,10.4,21.9,29.7,26.0,12.0
Coral Reef,51,9.8,17.6,33.3,17.6,21.6
