TYPE,Number of Respondents,Not at all important,Slightly important,Moderatel important,Very important,Extremely important
ALL,332,3.9,6.3,17.8,30.1,41.9
By County,,,,,,
Oahu,119,6.7,8.4,14.3,23.5,47.1
Hawaii,125,2.4,4.8,17.6,30.4,44.8
Maui,49,2.0,8.2,22.4,34.7,32.7
Kauai,37,2.7,0.0,21.6,45.9,29.7
By Primary Fishing Motivation,,,,,,
Recreational Expense,103,3.9,7.8,19.4,27.2,41.7
Part-Time Commercial,90,3.3,10.0,18.9,30.0,37.8
Subsistence,47,4.3,4.3,12.8,29.8,48.9
Full-Time Commercial,33,3.0,3.0,12.1,24.2,57.6
Purely Recreational,24,0.0,0.0,25.0,45.8,29.2
Cultural,4,25.0,0.0,0.0,50.0,25.0
By Most Common Gear,,,,,,
Troll,180,4.4,3.9,18.9,32.8,40.0
Bait for Pelagic,47,6.4,8.5,10.6,27.7,46.8
HL for Deep7 deep,46,0.0,10.9,19.6,28.3,41.3
HL for Deep7 shallow,27,7.4,7.4,25.9,40.7,18.5
Spear,6,0.0,33.3,0.0,0.0,66.7
By Sub-fishery,,,,,,
Pelagic,317,4.1,6.3,17.7,30.6,41.3
Deep7 Bottom,192,3.6,5.7,21.4,26.0,43.2
Non-Deep7 Bottom,194,4.1,6.7,17.5,31.4,40.2
Coral Reef,52,0.0,7.7,17.3,21.2,53.8
