TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,81,9.9,3.7,12.3,9.9,12.3,51.9,67.6
By County,,,,,,,,
Oahu,30,6.7,0.0,13.3,6.7,6.7,66.7,76.1
Hawaii,28,14.3,7.1,10.7,14.3,17.9,35.7,58.5
Maui,16,6.3,6.3,18.8,12.5,12.5,43.8,62.0
Kauai,7,14.3,0.0,0.0,0.0,14.3,71.4,80.7
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,16,6.3,6.3,12.5,12.5,6.3,56.3,70.0
Part-Time Commercial,24,8.3,4.2,16.7,4.2,20.8,45.8,66.3
Subsistence,14,0.0,0.0,21.4,21.4,7.1,50.0,68.6
Full-Time Commercial,7,42.9,0.0,14.3,0.0,0.0,42.9,47.6
Purely Recreational,4,0.0,0.0,0.0,0.0,0.0,100.0,97.5
Cultural,3,0.0,0.0,0.0,0.0,33.3,66.7,88.3
By Most Common Gear,,,,,,,,
Troll,39,7.7,2.6,10.3,7.7,12.8,59.0,73.6
Bait for Pelagic,11,9.1,9.1,27.3,9.1,9.1,36.4,52.5
HL for Deep7 deep,22,18.2,4.5,9.1,13.6,18.2,36.4,56.8
HL for Deep7 shallow,4,0.0,0.0,0.0,0.0,0.0,100.0,97.5
Spear,,,,,,,,
By Sub-fishery,,,,,,,,
Pelagic,78,10.3,3.8,10.3,10.3,12.8,52.6,68.1
Deep7 Bottom,63,12.7,4.8,7.9,11.1,14.3,49.2,66.3
Non-Deep7 Bottom,61,4.9,4.9,14.8,11.5,13.1,50.8,68.1
Coral Reef,26,11.5,11.5,19.2,19.2,19.2,19.2,46.4
,,,,,,,,
