TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,81,67.9,9.9,13.6,4.9,0.0,3.7,9.5
By County,,,,,,,,
Oahu,30,80.0,6.7,6.7,0.0,0.0,6.7,8.8
Hawaii,28,64.3,10.7,14.3,7.1,0.0,3.6,10.1
Maui,16,56.3,12.5,25.0,6.3,0.0,0.0,9.5
Kauai,7,57.1,14.3,14.3,14.3,0.0,0.0,10.7
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,16,81.3,0.0,6.3,12.5,0.0,0.0,8.2
Part-Time Commercial,24,70.8,8.3,12.5,4.2,0.0,4.2,9.1
Subsistence,14,64.3,21.4,7.1,7.1,0.0,0.0,5.7
Full-Time Commercial,7,57.1,0.0,14.3,0.0,0.0,28.6,33.3
Purely Recreational,4,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Cultural,3,33.3,33.3,33.3,0.0,0.0,0.0,10.0
By Most Common Gear,,,,,,,,
Troll,39,69.2,10.3,12.8,5.1,0.0,2.6,8.5
Bait for Pelagic,11,45.5,18.2,9.1,18.2,0.0,9.1,18.4
HL for Deep7 deep,22,77.3,0.0,18.2,0.0,0.0,4.5,8.9
HL for Deep7 shallow,4,75.0,25.0,0.0,0.0,0.0,0.0,1.3
Spear,,,,,,,,
By Sub-fishery,,,,,,,,
Pelagic,78,69.2,10.3,11.5,5.1,0.0,3.8,9.1
Deep7 Bottom,63,68.3,9.5,14.3,3.2,0.0,4.8,9.8
Non-Deep7 Bottom,61,65.6,11.5,16.4,6.6,0.0,0.0,7.3
Coral Reef,26,46.2,11.5,26.9,11.5,0.0,3.8,15.9
