TYPE,Number of Respondents,None,Very Little,Some,About Half,Most,Almost All,Mean
ALL,340,86.2,7.4,4.4,0.3,1.5,0.3,2.4
By County,,,,,,,,
Oahu,121,86.0,4.1,5.0,0.0,4.1,0.8,4.8
Hawaii,128,82.8,10.9,5.5,0.8,0.0,0.0,1.4
Maui,51,88.2,9.8,2.0,0.0,0.0,0.0,0.6
Kauai,39,94.9,2.6,2.6,0.0,0.0,0.0,0.4
By Primary Fishing Motivation,,,,,,,,
Recreational Expense,105,91.4,2.9,4.8,0.0,1.0,0.0,1.6
Part-Time Commercial,90,83.3,10.0,4.4,0.0,1.1,1.1,3.0
Subsistence,49,81.6,10.2,4.1,0.0,4.1,0.0,3.7
Full-Time Commercial,34,91.2,5.9,0.0,0.0,2.9,0.0,2.3
Purely Recreational,26,88.5,3.8,3.8,3.8,0.0,0.0,2.1
Cultural,4,75.0,25.0,0.0,0.0,0.0,0.0,1.3
By Most Common Gear,,,,,,,,
Troll,187,87.7,6.4,5.3,0.5,0.0,0.0,1.2
Bait for Pelagic,46,87.0,8.7,4.3,0.0,0.0,0.0,1.0
HL for Deep7 deep,48,85.4,10.4,4.2,0.0,0.0,0.0,0.9
HL for Deep7 shallow,29,93.1,6.9,0.0,0.0,0.0,0.0,0.3
Spear,6,0.0,0.0,0.0,0.0,83.3,16.7,77.5
By Sub-fishery,,,,,,,,
Pelagic,326,86.2,7.7,4.3,0.3,1.2,0.3,2.2
Deep7 Bottom,198,84.3,9.6,4.5,0.0,1.5,0.0,2.1
Non-Deep7 Bottom,200,81.5,10.5,5.5,0.0,2.5,0.0,3.0
Coral Reef,55,25.5,40.0,25.5,0.0,7.3,1.8,12.2
